serial	id	type	title	body	signature_threshold	signature_count	signatures_needed	url	deadline	status	created	day1	day2	day3	day4	day5	day6	day7	day8	day9	day10	day11	day12	day13	day14	day15	day16	day17	day18	day19	day20	day21	day22	day23	day24	day25	day26	day27	day28	day29	day30	day31	day32	day33	day34	day35	day36	day37	day38	day39	day40	day41	day42	day43	day44	day45	day46	day47	day48	day49	day50	day51	day52	day53	day54	day55	day56	day57	day58	day59	day60	numpeaks	total
3061	507f0c242bcfa3504800000a	petition	Restore PELL Grants for Ability to Benefit Students	"We must support restoring PELL grants for Ability to Benefit students.  Everyone deserves a chance to receive an education and shouldn't be punished for not completing high school.  By taking away their PELL grants, you are preventing them from securing employment which will result in more burdens for social programs and tax payers. You are causing them to struggle more and try to survive in an economy that already has a 9.7% unemployment rate. How can you expect the Ability to Benefit student population to compete in this type of economy if you are taking away their chance to learn any skills or knowledge required to gain employment?      America is about equal opportunities and there is nothing equal about this. "	25000	3866	21134	https://petitions.whitehouse.gov/petition/restore-pell-grants-ability-benefit-students	32	Closed	1350506165	37	30	3	2	5	0	10	36	153	54	17	33	44	41	38	22	14	6	19	20	44	82	68	96	171	332	1055	686	394	130	145	76	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	3866
3066	50802a1b2f2c882c1d000012	petition	"GASTROPARESIS, GP  We need more awareness and funding. It effects all ages and races, More research. NO MORE DEATHS!!"	"Gasroparesis is affecting millions around this country.  Most go untreated, or look at as an eating disorder.  GP means you have a parlayed stomach and you don't get the nutrition that your body needs.  We are given feeding tubes, picc lines and port a caths to live.  This is no way to LIVE!  Our tubes get infected a lot and worst causes septic.  We need more awareness out the and research being done for better treatments .  NO MORE DEATHS!  http://www.g-pact.org/ is a great foundation and sounding board.    This is for Haley Stonehocker that lost her life at the age of 18.  She got sick and had to stop all the things she loved to stay in bed on feeding tubes."	25000	817	24183	https://petitions.whitehouse.gov/petition/gastroparesis-gp-we-need-more-awareness-and-funding-it-effects-all-ages-and-races-more	32	Closed	1350577314	91	36	32	27	17	35	25	14	10	6	10	7	4	9	12	2	2	1	3	6	6	17	18	19	35	125	117	67	36	16	6	5	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	817
3071	50819444a9a0b1243e000008	petition	Help Free Humantarian Candi Dunlap from Macedonian Jail	"Candi Dunlap a Mississippi Nurse Practioner Travelled with her church to Macedonia for a medical missionary trip. One of many she has done. As her group was leaving while going through customs they found Macedonia coins in her carry on. The coins were a gift from one of the people in the Village she helped. She had no Idea she should not take them. She has been imprisioned since September 28th, 2012. Please get involved and make the President aware. "	25000	1819	23181	https://petitions.whitehouse.gov/petition/help-free-humantarian-candi-dunlap-macedonian-jail	32	Closed	1350669841	4	54	535	292	159	15	7	9	6	5	3	4	7	3	3	3	3	2	6	17	16	28	55	76	230	138	64	35	25	8	4	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1819
3076	5082e394a9a0b1e449000001	petition	take action against Rwanda and Uganda for violating the UN embargo by providing weapons and military assistance to M23.	"For the last 16 years, Rwanda and Uganda have invaded the Democratic Republic of Congo and have created and supported several rebel groups notably RCD, UPC, CNDP, and M23. These wars have caused the deaths of over 6 million people, the displacement of over 2 million people, the rapes of thousands of women and children, and the systematic looting of Congo natural resources, and the destruction of the Congo ecosystem. If the United States, champion of human rights, has supported actions taken against President Charles Taylor of Liberia and President Saddam Hussein of Iraq for similar offenses, why is it not acting against President Paul Kagame of Rwanda and President Yoweri Muveveni of Uganda for causing the biggest holocaust of modern history in eastern Congo? See UN experts' reports."	25000	228	24772	https://petitions.whitehouse.gov/petition/take-action-against-rwanda-and-uganda-violating-un-embargo-providing-weapons-and-military	32	Closed	1350756283	2	4	13	6	5	12	15	11	4	13	3	7	2	6	1	1	1	2	0	0	0	1	1	1	2	6	7	2	4	8	16	70	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	228
3081	5083f0baee140f395e000001	petition	Call on AG Holder to investigate allegations that Romney family has ties to voting machine company Hart Intercivic.	"It has been reported in numerous mainstream media outlets, including Forbes, that Mitt Romney and his family members have ties to a company, Hart Intercivic, who makes voting machines that are being used in the current Presidential race in many swing states.  In light of recent GOP-related voter fraud events, and in the interest of the sanctity of the American electoral process, we urge you to call for an immediate investigation by the U.S. Attorney General's Office into these allegations and to make public the details of what is being done to assure American voters that their votes truly mean something.    If this investigation does turn out to be true, in light of Mitt Romney's less-than-truthful debate performances, we urge that immediate impeachment steps be taken by Congress."	25000	1644	23356	https://petitions.whitehouse.gov/petition/call-ag-holder-investigate-allegations-romney-family-has-ties-voting-machine-company-hart	32	Closed	1350824494	210	78	83	141	32	12	14	26	22	11	26	17	5	7	7	9	7	15	29	33	58	73	158	240	153	72	38	31	15	14	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1644
3086	5085cca3ee140fee7900000e	petition	Endorse The National Nurse Act-we need a Nat. Nurse for Public Health to raise awareness for wellness and prevention now	"Passage of the Affordable Care Act provides a unique window of opportunity to strengthen the delivery of prevention education and highlight the nurse's role in our healthcare system. Low health literacy, coupled with increasing numbers of chronic preventable conditions, demonstrate current efforts are insufficient. Based on the ubiquitous presence of nurses in all communities and the high degree of trust bestowed on them, an adequate nursing workforce can play a major role in prevention, thus reducing both morbidity and costs related to chronic disease. HR 3679, the National Nurse Act of 2011 designates the Chief Nurse Officer of the USPHS to engage nurses to replicate successful prevention programs. Visit http://nationalnurse.org for more information and get involved."	25000	654	24346	https://petitions.whitehouse.gov/petition/endorse-national-nurse-act-we-need-nat-nurse-public-health-raise-awareness-wellness-and	32	Closed	1350946986	25	9	17	7	9	5	4	7	1	6	4	2	1	1	4	0	12	5	2	0	4	20	267	134	43	41	8	6	1	4	3	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	654
3091	50862414eab72ad143000009	petition	"Two young men wrongly being accused of killing a Macon police officer, even though they didn't know he was a law officer"	"Two young men wrongly being accused of killing a Macon police officer, even though they didn't know he was a law officer.The supreme court has ruled twice to make them eligible for the death penalty. Jolly and Fair was accused in March of 2006 and was Not found guilty of the murder. The purpose of this petition is to save their lives from the injustice system and find new ways to get them a new trial. Thank you for your support and comments. No Young Man Left Behind."	25000	748	24252	https://petitions.whitehouse.gov/petition/two-young-men-wrongly-being-accused-killing-macon-police-officer-even-though-they-didnt	32	Closed	1350968404	110	109	23	53	21	19	36	13	5	4	3	3	1	0	1	4	7	10	23	28	81	99	41	20	14	6	8	3	1	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	748
3096	50873860eab72a017f000008	petition	"Stop destruction of our U-233 for more NASA space exploration, new cancer treatments and thorium based energy abundance!"	"DoE is destroying America‰Ûªs supply of U233, a rare isotope of Uranium not found in nature.  This U233 has been stored for decades & will serve advanced-reactor development of Generation-IV reactor class termed MSR & MSBR (Molten-Salt Reactors).  ‰ÛÏWe are currently not supporting any projects that require U233 for testing. As such, the disposal of U233 will go forward.‰Ûù - DoE  Other nations (& American start-ups) are developing this reactor class. MSR consumes abundant Thorium, inexpensively achieving higher levels of safety & efficiency. Liquid fuel allows cancer-fighting, space-probe-fueling isotopes to be harvested, not trapped in spent fuel rods.  $500 million is being spent to denature our U233. A terrible waste of money. A destruction of America‰Ûªs unique resource.  ThoriumPetition.com"	25000	2486	22514	https://petitions.whitehouse.gov/petition/stop-destruction-our-u-233-more-nasa-space-exploration-new-cancer-treatments-and-thorium	32	Closed	1351099661	215	79	42	18	22	10	24	37	10	6	2	13	8	10	33	20	65	131	152	583	421	245	124	69	47	34	21	16	15	6	5	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	2486
3101	508b70146ce61c7217000002	petition	Come clean about the radical Islamist terrorist attack and murder of four Americans in Benghazi. Stop dodging questions.	"This a petition for the Obama administration (including CIA, State Dept., DOD, and whoever else involoved) to come clean about the terrorist attack and murder of American Heroes in Benghazi on September 11, 2012.  We want answers.  The American people, and especially the families of the dead, deserve the truth about what happened leading up to, during and after the attack.  If there is nothing to hide, then just give us the truth.  Stop the blame games and take responsibility for once.  What happened to transparency? What did you know? When did you know it? Who made what decisions and why? "	25000	19468	5532	https://petitions.whitehouse.gov/petition/come-clean-about-radical-islamist-terrorist-attack-and-murder-four-americans-benghazi-stop	32	Closed	1351315862	342	111	51	33	34	17	160	9	15	21	12	66	100	160	976	1374	5264	5303	2595	1128	524	369	187	142	97	75	37	48	44	61	48	63	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	19468
3106	508d1c2b6ce61c1516000002	petition	Justice for Venna's Family -- Death Penalty for Raghu Yandamuri in USA itself	"We all know without doubt, Raghunandan Yandamuri committed the two murders (of 61-year-old Sathyvathi Venna and her 10-month-old granddaughter Saanvi Venna) for money. We came to know ""if he is not citizen of USA, he will be turn into Indian custody and sent back to India, depending on judge's ruling"". But he killed 10 months old innocent citizen of USA also. But how the culprit will be punished in USA itself? Just sign this petition and let President know your support.We must get 150 signatures in order of our petition to be publicly searchable on the We the People tool onWhiteHouse.gov.And we need 25000 signatures within 30 days in order to get response from the White House.Don't let Raghu leave USA. PS: Please share this petition on social networking websites and let's try for Justice. "	25000	3488	21512	https://petitions.whitehouse.gov/petition/justice-vennas-family-death-penalty-raghu-yandamuri-usa-itself	32	Closed	1351431836	108	649	792	406	255	169	58	45	48	56	69	108	41	56	69	225	146	66	36	13	13	10	12	10	4	1	3	2	2	3	7	6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3488
3111	50969492eab72a2b0b000000	petition	Declare A Grief Awareness Day	"We are asking for a day set aside for grief awareness.This is to create education,change,and the myths surrounding grief."	25000	539	24461	https://petitions.whitehouse.gov/petition/declare-grief-awareness-day	30	Closed	1352045907	33	6	9	4	37	2	22	4	5	6	6	2	13	111	31	59	28	10	2	5	6	7	12	21	18	18	9	16	17	19	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	539
3116	5096ce492f2c882d5b000006	petition	Regulate Internet Pornography	Regulating the distribution of internet pornography is crucial. We petition the government to keep pornography away from minors by demanding and enforcing that a valid credit card number belonging to the adult viewer is provided at a login screen to every pornographic website. We also request that advertising is made illegal on internet sites containing pornographic images or video. These two simple steps are absolutely necessary to regulate the distribution of pornography and end the exponential increase of pornography among those 17 years of age and under. 	25000	4694	20306	https://petitions.whitehouse.gov/petition/regulate-internet-pornography	30	Closed	1352060862	23	10	0	29	24	15	9	369	2394	976	408	150	80	45	26	25	22	9	7	7	12	8	3	14	10	1	5	0	2	11	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	4694
3121	509a27a0a9a0b1173900000a	petition	Grant Work Authorization (EAD) to H4 Visa holders.	"Allow H4 visa holders to legally work while their H1-B visa holder spouse waits for his or her adjustment of status application to be adjudicated. Specifically, employment will be authorized for H-4 dependent spouses of principal H-1B visa holders who have begun the process of seeking lawful permanent resident status through employment after meeting a minimum period of H-1B status in the U.S. This will help retain talented professionals who are valued by U.S. employers and who seek to contribute to our economy. This rule (DHS/USCIS RIN: 1615-AB92) is already proposed in 2011 but not yet implemented."	25000	3064	21936	https://petitions.whitehouse.gov/petition/grant-work-authorization-ead-h4-visa-holders	30	Closed	1352280313	60	26	78	65	76	160	195	246	294	151	43	92	117	419	364	62	23	22	27	61	61	65	83	51	34	24	41	30	57	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	3064
3126	509a7ebaadfd951c18000006	petition	Liam's Hope - Research and Funding to Cure Childhood Cancer. Neuroblastoma is killing our children - Find A Cure!	"Childhood Cancer takes the lives of the most precious - our children.  We need a CURE!! AMERICAN CANCER SOCIETY: In 2010 directed $0.01 (a penny) to childhood cancer research for every dollar of public support. LEUKEMIA & LYMPHOMA SOCIETY: directed $0.02. NATIONAL CANCER INSTITUTE, Over the past five years, it has only directed between 3.6 and 4.0% of its total budget, an average of $176 mil/year to pediatric cancer.  SHAMEFUL! Liam Myrick was born September 20, 2008.  He has Neuroblastoma - he just turned 4! On July 23, 2011 Liam Myrick was diagnosed with Stage 4 Neuorblastom, Liam completed his Chemotherapy, bone marrow transplants, and radiation and on May 7th 2012 the doctors told the Myricks that there was no more they could do for Liam and to take him home and enjoy the time he has."	25000	2680	22320	https://petitions.whitehouse.gov/petition/liams-hope-research-and-funding-cure-childhood-cancer-neuroblastoma-killing-our-children	30	Closed	1352304768	50	16	77	64	345	1000	595	235	90	59	26	9	6	14	14	4	6	5	6	6	3	5	11	5	1	3	6	6	3	10	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2680
3131	509a9ec76ce61c3449000005	petition	Peacefully grant the State of Louisiana to withdraw from the United States of America and create its own NEW government.	"As the founding fathers of the United States of America made clear in the Declaration of Independence in 1776:  ""When in the Course of human events, it becomes necessary for one people to dissolve the political bands which have connected them with another, and to assume among the powers of the earth, the separate and equal station to which the Laws of Nature and of Nature's God entitle them, a decent respect to the opinions of mankind requires that they should declare the causes which impel them to the separation.""  ""...Governments are instituted among Men, deriving their just powers from the consent of the governed, that whenever any Form of Government becomes destructive of these ends, it is the Right of the People to alter or abolish it, and institute new Government..."""	25000	38991	0	https://petitions.whitehouse.gov/petition/peacefully-grant-state-louisiana-withdraw-united-states-america-and-create-its-own-new	30	Reviewed	1352311625	52	344	2634	5916	5380	14594	4395	1764	702	395	191	153	128	97	58	37	31	49	56	47	46	28	27	26	18	20	11	39	24	24	32	18	19	31	30	13	23	25	35	58	81	52	34	40	49	62	96	144	65	82	76	69	50	53	41	35	25	31	24	22	1	38701
3136	509ab8b02bcfa3617000000e	petition	Provide a level economic field to the GLBT community by providing federal recognition of same-sex marriages.	"Recognition of same-sex marriage and civil unions is as much an economic issue as a civil rights issue.    Federal recognition will allow same sex couples to file taxes jointly.  It will allow them to avoid costly legal paperwork by giving partners legal standing even in states that do not offer same-sex marriage as an option.  Federal recognition would allow federal employees to list their same-sex spouses for survivorship benefits under social security and military retirement. It will allow federal employees to provide insurance benefits to their same-sex spouses and the children of their spouses, as well. "	25000	2897	22103	https://petitions.whitehouse.gov/petition/provide-level-economic-field-glbt-community-providing-federal-recognition-same-sex	30	Closed	1352325009	7	33	33	11	1	10	38	8	749	574	237	231	251	117	54	31	32	59	81	44	48	42	24	21	16	28	26	46	27	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2897
3141	509aba83688938dc7e00000a	petition	"Enforce the tax code, and strip violating Religious institutions of their tax exempt 501(c) status."	"Religious institutions across our great nation serve an important role in community building & out reach, helping the poor & disenfranchised, among many other noble actions.   Our forefathers had the foresight to see that for our nation to succeed, we would need to enforce an unparalleled freedom of religion.  However, they also understood the imperative need for a legal separation between church & state.    In recent years, the IRS has turned a blind eye to offending Religious institutions that mix religion with politics.  By not enforcing the qualifications & disqualification's of 26 U.S.C. å_ 501(c) of the United States tax code, the IRS is doing a diservice to both the American people & the vision of our forefathers.    We ask that you enforce the letter of the law."	25000	34878	0	https://petitions.whitehouse.gov/petition/enforce-tax-code-and-strip-violating-religious-institutions-their-tax-exempt-501c-status	30	Reviewed	1352318344	587	332	2157	718	1079	2232	2545	1712	735	9319	1070	609	471	627	171	123	201	651	163	59	70	87	107	50	28	44	61	88	61	33	51	32	40	59	49	58	74	197	226	447	419	234	124	143	130	98	119	132	73	385	303	149	100	81	43	45	48	61	54	41	1	30205
3146	509ac498eab72aed24000002	petition	Include Licensed Naturopathic Physicians as primary care providers in the Federal Healthcare Law (Obamacare).	"Licensed naturopathic physicians should play an integral part in patient access to alternative medicine within the Federal Healthcare Law (Obamacare) as they serve as primary care physicians within the complementary health care field.   With Americans spending over $34 billion dollars spent annually on alternative medicine, the inclusion of licensed Naturopathic physicians would offer patients the option of seeking alternative medicine care covered by insurance AND provide access for those currently unable to afford care.   Licensed Naturopathic physicians are able to diagnose and treat both acute and chronic disease and are experts in nutrition, herbs, and other holistic therapies. Learn more about licensed Naturopathic physicians at http://www.naturopathic.org."	25000	31627	0	https://petitions.whitehouse.gov/petition/include-licensed-naturopathic-physicians-primary-care-providers-federal-healthcare-law	30	Reviewed	1352320800	151	2280	1315	716	1002	1820	1644	1022	687	375	240	327	485	772	523	190	215	205	563	731	579	687	642	496	326	969	1586	2849	2887	545	185	75	70	62	73	40	33	57	64	111	111	51	50	46	49	39	49	40	36	78	69	37	24	35	14	8	26	18	23	15	4	28417
3151	509ae5b9a9a0b1a755000003	petition	Remove marijuana from the federal Controlled Substance Act and allow the states to decide how they want to regulate it.	Some states have clearly indicated that they wish determine how to regulate marijuana at the state level through medical marijuana programs or by legalizing personal use.  Please remove federal implications by removing marijuana from the Controlled Substance Act.  	25000	83684	0	https://petitions.whitehouse.gov/petition/remove-marijuana-federal-controlled-substance-act-and-allow-states-decide-how-they-want	30	Reviewed	1352329180	99	197	6870	5775	10261	18272	9234	5105	2423	1463	697	684	538	333	159	133	191	222	338	220	318	209	162	97	97	112	197	424	226	229	255	177	327	460	426	344	464	638	825	2050	1668	850	542	590	398	449	720	645	479	1489	937	461	389	346	196	272	267	351	249	199	1	82748
3156	509b027300e579ff54000012	petition	Repeal the Defense of Marriage Act (DOMA)	"The purpose of this petition is to ask the United States Government to repeal the Defense of Marriage (DOMA) as it is unconstitutional.   It does not allow everyone in the United States to be treated as equals. Sign here to have DOMA repealed.  The ability to love is in a human being's very DNA. It shouldn't matter if we want to be with someone of a different race, religion or nationality. It should definitely not matter if its even someone of the same gender.  Sign for the freedom to love!"	25000	52139	0	https://petitions.whitehouse.gov/petition/repeal-defense-marriage-act-doma-0	30	Reviewed	1352336388	41	23	12	6	34	2137	8925	4018	2332	1174	817	2947	3200	649	183	103	128	156	168	111	113	102	63	55	223	114	101	165	71	102	86	61	88	116	106	147	337	450	712	1274	850	411	223	379	232	180	187	135	267	938	642	206	275	140	61	109	123	146	97	117	2	37368
3161	509b1692adfd957043000012	petition	Pass amendment 64 in the state of Indiana.	"As other states like Colorado, and Washington pass amendment 64, to legalize Recreational use of marijuana,I feel its time to lift this prohibition. Marijuana is used everyday by millions of people world wide, to heal, create friendships, and just relax. Its time for a change."	25000	2890	22110	https://petitions.whitehouse.gov/petition/pass-amendment-64-state-indiana	30	Closed	1352341927	61	239	191	175	487	684	462	246	84	56	33	23	24	16	6	5	9	6	3	8	10	7	4	2	3	6	10	18	7	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2890
3166	509b8f712f2c88713e000002	petition	require the FDA to require Labeling of food that contains Genetically Modified Organisms (GMO's)	"Corporations have Patented our Food with GMO's and now Control of our food supply.  What happens if they decide there is a shortage, raise prices and sue your only local farmer.  They have injected and altered are food.  They have won the right to lie in advertisements and food corporatioins have won the right to lie about what is in our food.  What's next.    We are going up against food corporations powerful enough to sue whole Nations, infiltrate the FDA, our court systems and dictate Government policy. "	25000	21703	3297	https://petitions.whitehouse.gov/petition/require-fda-require-labeling-food-contains-genetically-modified-organisms-gmos	30	Closed	1352372480	916	1197	915	1144	3300	3264	1717	767	555	861	331	1025	341	144	44	167	125	192	140	108	121	142	110	65	60	453	409	208	110	2763	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	21703
3171	509bac30688938b93300000a	petition	"To act on the Puerto Rican  referendum of   November 6, 2012"	"In a referendum on 6 November 2012, 53.9% of Puerto Rican voters voted against maintaining the territory's political status, and 61.15% opted for U.S. statehood if the territory's status were to be changed.  We ask our President to take the require action in congress to help Puerto Rico this is a historic moment for the first time Puerto Rican voted against maintaining the territory's political status.  We want Action  "	25000	15694	9306	https://petitions.whitehouse.gov/petition/act-puerto-rican-referendum-november-6-2012	30	Closed	1352379878	475	1076	2066	1790	2644	1509	1410	510	561	518	197	378	221	82	54	58	331	273	180	163	57	80	66	34	29	271	77	268	82	233	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	15694
3176	509c1230adfd95b67b000004	petition	Take action to minimize and protect against the threats of a warming planet.	"Specifically, we ask the Obama Administration to:     ‰Û¢ end fossil fuel subsidies that distort the market, deplete our national treasury, and serve only wealthy corporations;     ‰Û¢ impose a carbon tax on fossil fuel companies that fully invoices them for the damage their products do to our nation and the planet;     ‰Û¢ build a modern and robust nationwide 'smart' grid to enable the full use of our renewable resources throughout the nation;     ‰Û¢ support the development, deployment, and integration of renewable energy technologies and systems, in both centralized and distributed applications;     ‰Û¢ mandate the development of regional and local climate change response plans to identify paths forward for our communities;     ‰Û¢ lead the world to a comprehensive treaty combating climate change."	25000	1478	23522	https://petitions.whitehouse.gov/petition/take-action-minimize-and-protect-against-threats-warming-planet	30	Closed	1352443232	2	3	32	34	19	11	3	2	4	5	28	271	151	54	62	99	66	62	77	80	53	41	27	42	37	56	49	30	41	37	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	1478
3181	509c2ba46ce61c2e1d00000f	petition	Support HR 4373 and S 3616: Help make adoption affordable; keep the tax credit and make it refundable	"Help make Adoption Affordable   The average cost to adopt a child is any where from $25k- $35k or more. Currently, The 2012 Tax Credit is not refundable for adoptions initiated after 2011, which means a large number of families are/were not able to get any of the $25k- $35k back and possibly prevent people from adopting a child at all.   In 2013 it will revert back to a maximum tax credit of $6,000 for parents adopting children with special needs only and there will be no adoption tax credit available in tax year 2013.  We are petitioning to make the adoption tax credit permanent and refundable, so that more money is available to families allowing them provide a financially stable home to the adopted child.   Currently, there are two bills HR 4373 and S3616 that support this petition."	25000	9075	15925	https://petitions.whitehouse.gov/petition/support-hr-4373-and-s-3616-help-make-adoption-affordable-keep-tax-credit-and-make-it	30	Closed	1352412568	12	10	19	42	30	1406	1446	1128	592	263	289	401	279	136	62	39	50	130	164	121	252	379	137	96	151	224	218	202	511	286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	9075
3186	509c2f552bcfa36b38000006	petition	require extensive testing (at least 180 days) of all genetically modified organisms (GMO) sold in the US as food	"I personally know many people who are concerned about genetically modified organisms (GMOs).  While there have been some isolated studies recently showing effects of concern, most of these have been in other countries and not verified by American scientists.  All we (the below-signed) are asking is that the American Government fund studies that will test the safety of these organisms for consumption by the American Public.  Studies need to run much longer than the currently required 90 days--at least 180 days and preferrably two years or more.  We respectfully request that this testing be done in a facility and by independent scientists that have never worked for Monsanto or any other company that creates GMO seeds so that there is no possibility of conflict of interest in the results. "	25000	7152	17848	https://petitions.whitehouse.gov/petition/require-extensive-testing-least-180-days-all-genetically-modified-organisms-gmo-sold-us	30	Closed	1352414448	171	395	542	1129	2486	1059	480	196	143	59	55	60	21	16	16	19	17	16	18	19	26	21	19	11	18	34	31	22	15	38	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	7152
3191	509c5fd56ce61cbf28000003	petition	To enact a policy exactly like or resembling Amendment 64 for the recreational use of marijuana in the state of Florida.	"For any Florida resident conscious of the current marijuana laws knows that they are among the steepest in the country. Cannabis annually takes zero lives, yet it imprisons a person every 42 seconds. It's just senseless to put harmless people behind bars for smoking a harmless flower. Amendment 64 needs to be brought to Florida, and soon. Legalize it. Legalize it, and tax it. It's no secret that Florida is not only an awful state for a smoker, but an awful state for a student. Reinvest the taxes collected from the the selling of a harmless plant into education and give stoners and children alike a better tomorrow. "	25000	10526	14474	https://petitions.whitehouse.gov/petition/enact-policy-exactly-or-resembling-amendment-64-recreational-use-marijuana-state-florida	30	Closed	1352426198	260	383	612	962	1212	993	1485	947	411	1277	466	237	227	112	60	56	75	108	91	97	74	59	29	34	41	83	54	21	40	20	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	10526
3196	509c75e9eab72afb49000003	petition	Federally Legalize Marijuana	"Colorado's amendment 64 just passed, as did Initiative 502 in Washington.  Marijuana prohibition is gradually becoming a thing of the past, and simply needs one final push. Alcohol prohibition turned out to be more harm than good  in the early 1900's, and marijuana prohibition is recreating the same situation. The bottom line is that marijuana prohibition enforcement costs the government 13.7 billion dollars annually, and puts well over 500,000 people in jail every year (sources cited below).   http://www.cnbc.com/id/36600923/The_Cost_and_Benefit_Arguments_Around_Enforcement  http://www.huffingtonpost.com/2012/09/26/marijuana-legalization-in_n_1915649.html"	25000	44049	0	https://petitions.whitehouse.gov/petition/federally-legalize-marijuana	30	Reviewed	1352432249	98	10	2	34	4342	12160	6699	2631	1197	659	661	373	199	124	127	162	197	198	208	175	168	98	84	84	108	212	382	126	227	148	156	203	418	258	265	373	303	730	1213	742	445	262	510	354	433	679	367	489	907	604	346	316	236	142	190	179	210	159	159	245	1	43786
3201	509cbca56ce61c5330000014	petition	Bestow the Presidential Medal of Freedom upon AIDS Coalition to Unleash Power (ACT UP)! They saved MILLIONS of lives!!!	"We, the undersigned, ask that you, President Obama, please bestow the Presidential Medal of Freedom upon the Founding Members of AIDS Coalition to Unleash Power (ACT UP).  History has proven that this group saved millions of lives, not just American, but worldwide.  At a time in our history when our very own government turned its back on us, a brave few stood up and made them listen and then react.  To speak truth to power is one of the bravest things one can do.  And they did.  They fought for me and millions like me and because of that, today, I am still alive!  I owe my life to them.  Not to the pharmaceutical companies, but to those who fought to hold both the government and pharmaceutical companies accountable!  Our country and the world owes them a huge debt of gratitude.  Thank you."	25000	320	24680	https://petitions.whitehouse.gov/petition/bestow-presidential-medal-freedom-upon-aids-coalition-unleash-power-act-they-saved-millions	30	Closed	1352450297	8	3	30	5	35	2	10	6	4	0	2	2	1	6	13	44	29	18	24	17	12	10	2	4	12	6	5	0	8	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	320
3206	509d380c2bcfa3015c000005	petition	Stop the drone strikes.	Stop the authorization of the drone strikes in the Middle East that kill nearly fifty civilians for every terrorist suspect. Stop making America an assassin of innocent children. End the practice of counting every adult male in the area as an enemy combatant.	25000	11309	13691	https://petitions.whitehouse.gov/petition/stop-drone-strikes-0	30	Closed	1352480943	974	1858	1793	2075	1461	1427	504	264	129	95	100	85	51	18	31	32	52	38	46	43	23	15	12	14	31	55	30	25	19	9	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	11309
